wavelength,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36
496.179,,,,,,,,,,0.00327816,,,,,,,,,,,,,,,,,,,,,,,,,,
496.2,,,0.000183067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
497.179,,,,,,,,,,0.000955106,,,,,,,,,,,,,,,,,,,,,,,,,,
497.2,,,0.000164856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
498.179,,,,,,,,,,0.000273069,,,,,,,,,,,,,,,,,,,,,,,,,,
498.2,,,0.000144955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499.19,,,,,,,,,,0.000171243,,,,,,,,,,,,,,,,,,,,,,,,,,
499.2,,,0.000166567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500,2.138e-05,4.01578e-05,0.000258259,0.000315458,,,,0.00260528,0.000148845,,0.000682194,0.000400835,1.11e-05,6.82033e-06,1.9543e-06,5.88315e-06,3.98524e-05,1.47256e-05,3.01243e-05,,,,,,,,,,,,,,,,,
500.17,,,,,,,,,,7.39074e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
501.179,,,,,,,,,,8.33873e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
502.17,,,,,,,,,,6.40556e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
503.17,,,,,,,,,,7.5016e-05,,,,,,,,,,,,,,,,,,,,,,,,,,
510,1.18306e-05,4.47864e-05,0.00033333,0.00048059,,,,0.004129,0.00022173,0.000140615,0.00120268,0.000597802,3.64879e-06,6.86658e-06,3.1141e-06,5.26093e-06,4.37826e-05,2.16407e-05,5.00355e-05,,,,,,,,,,,,,,,,,
516.179,,,,,,,,,,,0.000268341,,,,,,,,,,,,,,,,,,,,,,,,,
517.179,,,,,,,,,,,0.000804332,,,,,,,,,,,,,,,,,,,,,,,,,
518.169,,,,,,,,,,,0.00195755,,,,,,,,,,,,,,,,,,,,,,,,,
519.179,,,,,,,,,,,0.0056237,,,,,,,,,,,,,,,,,,,,,,,,,
520,1.74698e-05,3.13579e-05,0.000385951,0.000708095,,,,0.00186628,0.000448907,0.00012274,,0.000884103,6.40156e-06,4.06986e-06,1.66611e-06,3.77698e-06,2.43155e-05,3.24951e-05,3.06696e-05,,,,,,,,,,,,,,,,,
520.159,,,,,,,,,,,0.0199953,,,,,,,,,,,,,,,,,,,,,,,,,
521.19,,,,,,,,,,,0.0710626,,,,,,,,,,,,,,,,,,,,,,,,,
522.179,,,,,,,,,,,0.183156,,,,,,,,,,,,,,,,,,,,,,,,,
523.179,,,,,,,,,,,0.361062,,,,,,,,,,,,,,,,,,,,,,,,,
524.169,,,,,,,,,,,0.582582,,,,,,,,,,,,,,,,,,,,,,,,,
525.169,,,,0.000165368,,,,,,,0.797048,,,,,,,,,,,,,,,,,,,,,,,,,
526.159,,,,,,,,,,,0.94981,,,,,,,,,,,,,,,,,,,,,,,,,
526.169,,,,0.000157495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527.159,,,,,,,,,,,0.981414,,,,,,,,,,,,,,,,,,,,,,,,,
527.169,,,,0.000211702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528.169,,,,,,,,,,,0.97637,,,,,,,,,,,,,,,,,,,,,,,,,
528.179,,,,0.000230279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529.19,,,,0.000190836,,,,,,,0.994017,,,,,,,,,,,,,,,,,,,,,,,,,
530,1.92118e-05,3.05525e-05,0.000381662,,,,,0.000509453,0.000481344,0.000141267,,0.00158325,4.37652e-06,4.08331e-06,2.31547e-06,6.85114e-06,2.64002e-05,2.22679e-05,4.14531e-05,,,,,,,,,,,,,,,,,
530.179,,,,0.000251823,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
531.179,,,,0.000359112,,,,,,,0.979251,,,,,,,,,,,,,,,,,,,,,,,,,
532.19,,,,0.000404363,,,,,,,0.929473,,,,,,,,,,,,,,,,,,,,,,,,,
533.169,,,,,,,,,,,0.853851,,,,,,,,,,,,,,,,,,,,,,,,,
533.179,,,,0.000542797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534.19,,,,0.000723888,,,,,,,0.749499,,,,,,,,,,,,,,,,,,,,,,,,,
535.179,,,,,,,,,,,0.608954,,,,,,,,,,,,,,,,,,,,,,,,,
535.19,,,,0.000938826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536.179,,,,0.00149662,,,,,,,0.426368,,,,,,,,,,,,,,,,,,,,,,,,,
536.219,,,,,,,,,,,,0.00262217,,,,,,,,,,,,,,,,,,,,,,,,
537.169,,,,,,,,,,,0.228721,,,,,,,,,,,,,,,,,,,,,,,,,
537.179,,,,0.00251636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537.219,,,,,,,,,,,,0.00815978,,,,,,,,,,,,,,,,,,,,,,,,
538.169,,,,0.00489088,,,,,,,0.0876152,,,,,,,,,,,,,,,,,,,,,,,,,
