wavelength,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36
4350,,,,,0.000111,6.01e-06,1.47e-06,,,,,,,,,,,,,5.64e-05,1.63e-05,1.41e-05,2.32e-05,,0.0026,0.000519,9.91e-05,0.000119,0.000138,0.000158,0.000548,0.000207,5.81e-05,5.07e-05,0.000282,1.11e-05
4354.6,,,,,,,,,,,,,,,,,,,,,,,,0.01536,,,,,,,,,,,,
4359.6,,,,,,,,,,,,,,,,,,,,,,,,0.02144,,,,,,,,,,,,
4364.6,,,,,,,,,,,,,,,,,,,,,,,,0.03071,,,,,,,,,,,,
4369.7,,,,,,,,,,,,,,,,,,,,,,,,0.04339,,,,,,,,,,,,
4374.7,,,,,,,,,,,,,,,,,,,,,,,,0.06228,,,,,,,,,,,,
4379.6,,,,,,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,,
4384.6,,,,,,,,,,,,,,,,,,,,,,,,0.13312,,,,,,,,,,,,
4389.6,,,,,,,,,,,,,,,,,,,,,,,,0.1992,,,,,,,,,,,,
4394.6,,,,,,,,,,,,,,,,,,,,,,,,0.29676,,,,,,,,,,,,
4399.6,,,,,,,,,,,,,,,,,,,,,,,,0.42517,,,,,,,,,,,,
4400,,,,,0.000104,3.09e-06,5.99e-06,,,,,,,,,,,,,3.95e-05,8.14e-05,1.09e-05,1.11e-05,,0.0102,0.000634,0.000101,3.68e-05,0.000102,3.59e-05,8.68e-05,0.000277,0.000321,0.000332,2.93e-05,6.66e-05
4404.6,,,,,,,,,,,,,,,,,,,,,,,,0.58298,,,,,,,,,,,,
4409.7,,,,,,,,,,,,,,,,,,,,,,,,0.74185,,,,,,,,,,,,
4414.5,,,,,,,,,,,,,,,,,,,,,,,,0.86265,,,,,,,,,,,,
4419.6,,,,,,,,,,,,,,,,,,,,,,,,0.92939,,,,,,,,,,,,
4424.6,,,,,,,,,,,,,,,,,,,,,,,,0.95297,,,,,,,,,,,,
4426.8,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,
4429.5,,,,,,,,,,,,,,,,,,,,,,,,0.95665,,,,,,,,,,,,
4431.5,,,,,,,,,,,,,,,,,,,,,,,,,0.01392,,,,,,,,,,,
4434.6,,,,,,,,,,,,,,,,,,,,,,,,0.96687,,,,,,,,,,,,
4436.4,,,,,,,,,,,,,,,,,,,,,,,,,0.02051,,,,,,,,,,,
4439.6,,,,,,,,,,,,,,,,,,,,,,,,0.98074,,,,,,,,,,,,
4441.3,,,,,,,,,,,,,,,,,,,,,,,,,0.03032,,,,,,,,,,,
4444.5,,,,,,,,,,,,,,,,,,,,,,,,0.98791,,,,,,,,,,,,
4446.5,,,,,,,,,,,,,,,,,,,,,,,,,0.04611,,,,,,,,,,,
4449.5,,,,,,,,,,,,,,,,,,,,,,,,0.98832,,,,,,,,,,,,
4450,,,,,0.000195,5.15e-06,8.01e-07,,,,,,,,,,,,,3.39e-05,4.99e-05,1.2e-05,1.9e-05,,,0.000643,5.77e-05,0.00013,0.000223,0.000187,0.00059,0.000362,2.72e-05,0.000121,0.000473,7.17e-05
4451.5,,,,,,,,,,,,,,,,,,,,,,,,,0.06704,,,,,,,,,,,
4454.5,,,,,,,,,,,,,,,,,,,,,,,,0.98823,,,,,,,,,,,,
4456.5,,,,,,,,,,,,,,,,,,,,,,,,,0.09757,,,,,,,,,,,
4459.5,,,,,,,,,,,,,,,,,,,,,,,,0.99487,,,,,,,,,,,,
4461.5,,,,,,,,,,,,,,,,,,,,,,,,,0.14067,,,,,,,,,,,
4464.5,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
4466.3,,,,,,,,,,,,,,,,,,,,,,,,,0.19658,,,,,,,,,,,
4469.5,,,,,,,,,,,,,,,,,,,,,,,,0.99644,,,,,,,,,,,,
4471.3,,,,,,,,,,,,,,,,,,,,,,,,,0.26952,,,,,,,,,,,
4474.6,,,,,,,,,,,,,,,,,,,,,,,,0.98288,,,,,,,,,,,,
4476.4,,,,,,,,,,,,,,,,,,,,,,,,,0.36395,,,,,,,,,,,
4479.6,,,,,,,,,,,,,,,,,,,,,,,,0.93573,,,,,,,,,,,,
4481.4,,,,,,,,,,,,,,,,,,,,,,,,,0.48035,,,,,,,,,,,
4484.5,,,,,,,,,,,,,,,,,,,,,,,,0.85179,,,,,,,,,,,,
4486.5,,,,,,,,,,,,,,,,,,,,,,,,,0.62258,,,,,,,,,,,
4489.5,,,,,,,,,,,,,,,,,,,,,,,,0.72372,,,,,,,,,,,,
4491.3,,,,,,,,,,,,,,,,,,,,,,,,,0.75837,,,,,,,,,,,
4494.6,,,,,,,,,,,,,,,,,,,,,,,,0.54831,,,,,,,,,,,,
4496.4,,,,,,,,,,,,,,,,,,,,,,,,,0.88252,,,,,,,,,,,
4499.6,,,,,,,,,,,,,,,,,,,,,,,,0.36404,,,,,,,,,,,,
4500,,,,,0.000433,3.6e-05,7.69e-06,,,,,,,,,,,,,4.45e-05,0.000265,1.46e-05,1.28e-05,,,0.00064,3.65e-05,0.000179,0.000105,0.000253,0.000125,8.49e-05,0.00016,0.00106,0.000165,0.00048
4501.5,,,,,,,,,,,,,,,,,,,,,,,,,0.96492,,,,,,,,,,,
4504.5,,,,,,,,,,,,,,,,,,,,,,,,0.21996,,,,,,,,,,,,
4506.5,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
4509.5,,,,,,,,,,,,,,,,,,,,,,,,0.12721,,,,,,,,,,,,
4511.3,,,,,,,,,,,,,,,,,,,,,,,,,0.99367,,,,,,,,,,,
4514.5,,,,,,,,,,,,,,,,,,,,,,,,0.07731,,,,,,,,,,,,
4516.3,,,,,,,,,,,,,,,,,,,,,,,,,0.97512,,,,,,,,,,,
4519.6,,,,,,,,,,,,,,,,,,,,,,,,0.05018,,,,,,,,,,,,
4521.4,,,,,,,,,,,,,,,,,,,,,,,,,0.94645,,,,,,,,,,,
4524.6,,,,,,,,,,,,,,,,,,,,,,,,0.03371,,,,,,,,,,,,
4526.3,,,,,,,,,,,,,,,,,,,,,,,,,0.92218,,,,,,,,,,,
4529.5,,,,,,,,,,,,,,,,,,,,,,,,0.02426,,,,,,,,,,,,
4531.3,,,,,,,,,,,,,,,,,,,,,,,,,0.89879,,,,,,,,,,,
4534.5,,,,,,,,,,,,,,,,,,,,,,,,0.0178,,,,,,,,,,,,
4536.5,,,,,,,,,,,,,,,,,,,,,,,,,0.89462,,,,,,,,,,,
4539.7,,,,,,,,,,,,,,,,,,,,,,,,0.01339,,,,,,,,,,,,
4541.4,,,,,,,,,,,,,,,,,,,,,,,,,0.90922,,,,,,,,,,,
4544.3,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,
4546.3,,,,,,,,,,,,,,,,,,,,,,,,,0.93463,,,,,,,,,,,
4550,,,,,0.000339,5.28e-06,2.67e-06,,,,,,,,,,,,,3.36e-05,0.000215,1.39e-05,1.08e-05,0.0129,,0.000635,0.000116,6.69e-05,1.73e-05,0.000241,0.000262,0.000782,0.00022,0.000114,0.000387,0.000124
4551.4,,,,,,,,,,,,,,,,,,,,,,,,,0.95173,,,,,,,,,,,
4556.5,,,,,,,,,,,,,,,,,,,,,,,,,0.93442,,,,,,,,,,,
4561.3,,,,,,,,,,,,,,,,,,,,,,,,,0.85741,,,,,,,,,,,
4566.4,,,,,,,,,,,,,,,,,,,,,,,,,0.73112,,,,,,,,,,,
4571.4,,,,,,,,,,,,,,,,,,,,,,,,,0.57367,,,,,,,,,,,
4576.4,,,,,,,,,,,,,,,,,,,,,,,,,0.41802,,,,,,,,,,,
4581.4,,,,,,,,,,,,,,,,,,,,,,,,,0.28463,,,,,,,,,,,
4586.3,,,,,,,,,,,,,,,,,,,,,,,,,0.182,,,,,,,,,,,
4591.3,,,,,,,,,,,,,,,,,,,,,,,,,0.10937,,,,,,,,,,,
4596.5,,,,,,,,,,,,,,,,,,,,,,,,,0.06049,,,,,,,,,,,
4600,,,,,0.000605,5.05e-05,9.13e-06,,,,,,,,,,,,,3.71e-05,9.45e-06,9.81e-06,8.75e-06,0.000884,,0.000629,0.000182,7.19e-05,3.62e-05,0.000171,5.42e-05,0.000153,0.000268,0.000408,0.000631,0.000781
