wavelength,Oa01,Oa02,Oa03,Oa04,Oa05,Oa06,Oa07,Oa08,Oa09,Oa10,Oa11,Oa12,Oa13,Oa14,Oa15,Oa16,Oa17,Oa18,Oa19,Oa20,Oa21
405.8851624,,0.03958671913,,,,,,,,,,,,,,,,,,,
405.9270325,0.9628609419,,,,,,,,,,,,,,,,,,,,
405.9793701,,0.05324807391,,,,,,,,,,,,,,,,,,,
406.0453491,0.9458260536,,,,,,,,,,,,,,,,,,,,
406.0734558,,0.07053947449,,,,,,,,,,,,,,,,,,,
406.1636047,0.922082305,,,,,,,,,,,,,,,,,,,,
406.1665649,,0.09202110022,,,,,,,,,,,,,,,,,,,
406.2605286,,0.1182029843,,,,,,,,,,,,,,,,,,,
406.2817688,0.8898266554,,,,,,,,,,,,,,,,,,,,
406.3547668,,0.1494928449,,,,,,,,,,,,,,,,,,,
406.4000549,0.8476805687,,,,,,,,,,,,,,,,,,,,
406.4487915,,0.1861347854,,,,,,,,,,,,,,,,,,,
406.5183716,0.7951167226,,,,,,,,,,,,,,,,,,,,
406.5419922,,0.2281655073,,,,,,,,,,,,,,,,,,,
406.6358337,,0.2753617764,,,,,,,,,,,,,,,,,,,
406.6366577,0.7326772809,,,,,,,,,,,,,,,,,,,,
406.730072,,0.3272156119,,,,,,,,,,,,,,,,,,,
406.7549133,0.6619805694,,,,,,,,,,,,,,,,,,,,
406.8241882,,0.3829160631,,,,,,,,,,,,,,,,,,,
406.8731689,0.5855166316,,,,,,,,,,,,,,,,,,,,
406.9173889,,0.4413669109,,,,,,,,,,,,,,,,,,,
406.9915466,0.5063639283,,,,,,,,,,,,,,,,,,,,
407.0111084,,0.501252234,,,,,,,,,,,,,,,,,,,
407.1054077,,0.5611179471,,,,,,,,,,,,,,,,,,,
407.1097412,0.4278003871,,,,,,,,,,,,,,,,,,,,
407.1995239,,0.6194462776,,,,,,,,,,,,,,,,,,,
407.2277222,0.3528438509,,,,,,,,,,,,,,,,,,,,
407.2927551,,0.6747812629,,,,,,,,,,,,,,,,,,,
407.3456726,0.2839743793,,,,,,,,,,,,,,,,,,,,
407.3863831,,0.7258423567,,,,,,,,,,,,,,,,,,,
407.4639282,0.2229493707,,,,,,,,,,,,,,,,,,,,
407.4807129,,0.7716674209,,,,,,,,,,,,,,,,,,,
407.5749207,,0.8116524816,,,,,,,,,,,,,,,,,,,
407.5819397,0.1707347482,,,,,,,,,,,,,,,,,,,,
407.6681519,,0.8455880284,,,,,,,,,,,,,,,,,,,
407.7001343,0.127533257,,,,,,,,,,,,,,,,,,,,
407.7617493,,0.8736463189,,,,,,,,,,,,,,,,,,,
407.8181458,0.09292874485,,,,,,,,,,,,,,,,,,,,
407.8561401,,0.8963314891,,,,,,,,,,,,,,,,,,,
407.9363403,0.06606453657,,,,,,,,,,,,,,,,,,,,
407.9503174,,0.9143748879,,,,,,,,,,,,,,,,,,,
408.0435791,,0.9286504388,,,,,,,,,,,,,,,,,,,
408.0543823,0.04583226517,,,,,,,,,,,,,,,,,,,,
