wavelength,B1,B2,B3,B4,B5,B6,B7,B8,B9
1693,,,,,,0.00100486,,,
1694,,,,,,0.00090314,,,
1695,,,,,,0.00080678,,,
1696,,,,,,0.00073146,,,
1697,,,,,,0.00065905,,,
2037,,,,,,,0.00100276,,
2038,,,,,,,0.00104302,,
2039,,,,,,,0.00109992,,
2040,,,,,,,0.00115845,,
2041,,,,,,,0.00122734,,
2042,,,,,,,0.00129681,,
2043,,,,,,,0.00137709,,
2044,,,,,,,0.00145904,,
2045,,,,,,,0.0015567,,
2046,,,,,,,0.00165654,,
2047,,,,,,,0.00177442,,
2048,,,,,,,0.0018923,,
2049,,,,,,,0.00203646,,
2050,,,,,,,0.00218165,,
2051,,,,,,,0.00234517,,
2052,,,,,,,0.0025214,,
2053,,,,,,,0.00272487,,
2054,,,,,,,0.00293431,,
2055,,,,,,,0.00318399,,
2056,,,,,,,0.00343867,,
2057,,,,,,,0.00373486,,
2058,,,,,,,0.0040396,,
2059,,,,,,,0.00440837,,
2060,,,,,,,0.00477775,,
2061,,,,,,,0.00522084,,
2062,,,,,,,0.00566917,,
2063,,,,,,,0.00622531,,
2064,,,,,,,0.00679017,,
2065,,,,,,,0.00749193,,
2066,,,,,,,0.00819369,,
2067,,,,,,,0.00880615,,
2068,,,,,,,0.00943206,,
2069,,,,,,,0.01050554,,
2070,,,,,,,0.01157901,,
2071,,,,,,,0.01266538,,
2072,,,,,,,0.01378047,,
2073,,,,,,,0.01552035,,
2074,,,,,,,0.01726034,,
2075,,,,,,,0.01900202,,
2076,,,,,,,0.02074371,,
2077,,,,,,,0.02340086,,
2078,,,,,,,0.02618283,,
2079,,,,,,,0.02920399,,
2080,,,,,,,0.0322929,,
2081,,,,,,,0.03595484,,
2082,,,,,,,0.03991824,,
2083,,,,,,,0.04499807,,
2084,,,,,,,0.05056739,,
2085,,,,,,,0.05656623,,
2086,,,,,,,0.06276533,,
2087,,,,,,,0.07099935,,
2088,,,,,,,0.07984023,,
2089,,,,,,,0.09018464,,
2090,,,,,,,0.1011311,,
