wavelength,B1,B2,B3,B4,B5,B6,B7
486,0.9285,0.0,0.0,0.0,0.0,0.0,0.0
487,0.9332,0.0,0.0,0.0,0.0,0.0,0.0
488,0.9379,0.0,0.0,0.0,0.0,0.0,0.0
489,0.9425,0.0,0.0,0.0,0.0,0.0,0.0
490,0.9472,0.0,0.0,0.0,0.0,0.0,0.0
491,0.9548,0.0,0.0,0.0,0.0,0.0,0.0
492,0.9623,0.0,0.0,0.0,0.0,0.0,0.0
493,0.9698,0.0,0.0,0.0,0.0,0.0,0.0
494,0.9761,0.0,0.0,0.0,0.0,0.0,0.0
495,0.9775,0.0,0.0,0.0,0.0,0.0,0.0
496,0.9788,0.0,0.0,0.0,0.0,0.0,0.0
497,0.9802,0.0,0.0,0.0,0.0,0.0,0.0
498,0.9815,0.0,0.0,0.0,0.0,0.0,0.0
499,0.9837,0.0,0.0,0.0,0.0,0.0,0.0
500,0.9891,0.0,0.0,0.0,0.0,0.0,0.0
501,0.9935,0.0007,0.0,0.0,0.0,0.0,0.0
502,0.9978,0.0021,0.0,0.0,0.0,0.0,0.0
503,1.0,0.0036,0.0,0.0,0.0,0.0,0.0
504,0.9952,0.0032,0.0,0.0,0.0,0.0,0.0
505,0.9828,0.0065,0.0,0.0,0.0,0.0,0.0
506,0.9524,0.0089,0.0,0.0,0.0,0.0,0.0
507,0.9219,0.0139,0.0,0.0,0.0,0.0,0.0
508,0.8914,0.0164,0.0,0.0,0.0,0.0,0.0
509,0.8607,0.019,0.0,0.0,0.0,0.0,0.0
510,0.8293,0.0233,0.0,0.0,0.0,0.0,0.0
511,0.8021,0.0261,0.0,0.0,0.0,0.0,0.0
512,0.7877,0.029,0.0,0.0,0.0,0.0,0.0
513,0.7732,0.0318,0.0,0.0,0.0,0.0,0.0
514,0.7565,0.0347,0.0,0.0,0.0,0.0,0.0
515,0.7339,0.0377,0.0,0.0,0.0,0.0,0.0
516,0.6859,0.0544,0.0,0.0,0.0,0.0,0.0
517,0.5784,0.0713,0.0,0.0,0.0,0.0,0.0
518,0.4813,0.0982,0.0,0.0,0.0,0.0,0.0
519,0.4002,0.1297,0.0,0.0,0.0,0.0,0.0
520,0.3187,0.1635,0.0,0.0,0.0,0.0,0.0
521,0.2367,0.2055,0.0,0.0,0.0,0.0,0.0
522,0.1324,0.2479,0.0,0.0,0.0,0.0,0.0
523,0.1018,0.2908,0.0,0.0,0.0,0.0,0.0
524,0.0911,0.3341,0.0,0.0,0.0,0.0,0.0
525,0.0804,0.3779,0.0,0.0,0.0,0.0,0.0
526,0.0696,0.419,0.0,0.0,0.0,0.0,0.0
527,0.0588,0.4593,0.0,0.0,0.0,0.0,0.0
528,0.0532,0.4999,0.0,0.0,0.0,0.0,0.0
529,0.0498,0.5409,0.0,0.0,0.0,0.0,0.0
530,0.0465,0.5718,0.0,0.0,0.0,0.0,0.0
531,0.0431,0.5967,0.0,0.0,0.0,0.0,0.0
532,0.0397,0.6142,0.0,0.0,0.0,0.0,0.0
533,0.0364,0.6286,0.0,0.0,0.0,0.0,0.0
534,0.033,0.6431,0.0,0.0,0.0,0.0,0.0
535,0.0296,0.6578,0.0,0.0,0.0,0.0,0.0
536,0.0261,0.6722,0.0,0.0,0.0,0.0,0.0
537,0.0227,0.6868,0.0,0.0,0.0,0.0,0.0
538,0.0205,0.7015,0.0,0.0,0.0,0.0,0.0
539,0.0184,0.7163,0.0,0.0,0.0,0.0,0.0
540,0.0162,0.7312,0.0,0.0,0.0,0.0,0.0
541,0.014,0.7416,0.0,0.0,0.0,0.0,0.0
542,0.0119,0.752,0.0,0.0,0.0,0.0,0.0
543,0.0105,0.7625,0.0,0.0,0.0,0.0,0.0
544,0.0093,0.773,0.0,0.0,0.0,0.0,0.0
545,0.0081,0.7836,0.0,0.0,0.0,0.0,0.0
546,0.0069,0.7941,0.0,0.0,0.0,0.0,0.0
547,0.0058,0.8047,0.0,0.0,0.0,0.0,0.0
548,0.0056,0.8153,0.0,0.0,0.0,0.0,0.0
549,0.0054,0.826,0.0,0.0,0.0,0.0,0.0
550,0.0052,0.8367,0.0,0.0,0.0,0.0,0.0
551,0.0,0.8425,0.0,0.0,0.0,0.0,0.0
