wavelength,B1,B2,B3N,B3B,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14
4840,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
4888,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
4936,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
4984,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
5032,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
5080,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
5128,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
5176,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
5224,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
5272,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
5320,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
5368,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
5416,,,,,0.0000,0.0000,0.0000,,0.0000,0.0000,,,,,
5464,,,,,0.0000,0.0000,0.0000,0.0000,,0.0000,,,,,
5500,,,,,,,,,,0.0000,,,,,
5512,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,
5520,,,,,,,,,0.0000,0.0000,,,,,
5530,,,,,,,,0.0000,0.0000,0.0000,,,,,
5540,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
5550,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
5560,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
5570,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
5580,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,
8000,,,,,,,,,,,0,0,0,0,0
8010,,,,,,,,,,,0,0.0003,0.0014,0.0003,0
8020,,,,,,,,,,,0,0.0001,0.0009,0.0002,0.0001
8030,,,,,,,,,,,0.0022,0,0.0009,0,0
8040,,,,,,,,,,,0.0123,0,0.0008,0.0002,0
8050,,,,,,,,,,,0.0307,0,0.0007,0.0002,0.0001
8060,,,,,,,,,,,0.0618,0,0.0007,0.0002,0
8070,,,,,,,,,,,0.1117,0,0.0006,0.0003,0.0001
8080,,,,,,,,,,,0.1838,0,0.0005,0.0002,0.0001
8090,,,,,,,,,,,0.2832,0,0.0007,0.0002,0
8100,,,,,,,,,,,0.4073,0,0.0008,0.0002,0
8110,,,,,,,,,,,0.5508,0,0.0011,0.0004,0.0002
8120,,,,,,,,,,,0.6964,0,0.0012,0,0
8130,,,,,,,,,,,0.8089,0,0.0014,0.0003,0.0001
8140,,,,,,,,,,,0.877,0,0.0016,0.0004,0
8150,,,,,,,,,,,0.8985,0,0.0017,0.0005,0
8160,,,,,,,,,,,0.9136,0,0.0014,0.0004,0.0002
8170,,,,,,,,,,,0.9358,0,0.0015,0.0005,0
8180,,,,,,,,,,,0.9419,0,0.0013,0.0006,0
8190,,,,,,,,,,,0.9173,0,0.0014,0.0002,0.0003
8200,,,,,,,,,,,0.8759,0.0004,0.0012,0.0006,0
8210,,,,,,,,,,,0.8529,0.0006,0.001,0.0007,0.0001
8220,,,,,,,,,,,0.8489,0.0011,0.0008,0.0006,0.0003
8230,,,,,,,,,,,0.8445,0.0011,0.001,0.0007,0.0003
8240,,,,,,,,,,,0.8362,0.0007,0.001,0.0008,0.0002
8250,,,,,,,,,,,0.8407,0.0003,0.0014,0.0006,0
8260,,,,,,,,,,,0.8715,0,0.0011,0.0005,0.0001
8270,,,,,,,,,,,0.9095,0,0.0009,0.0006,0.0002
8280,,,,,,,,,,,0.9317,0,0.0009,0.0008,0.0001
8290,,,,,,,,,,,0.9383,0,0.0007,0.0006,0
8300,,,,,,,,,,,0.9488,0,0.0006,0.0004,0.0002
8310,,,,,,,,,,,0.9659,0,0.0003,0.0005,0.0001
8320,,,,,,,,,,,0.9807,0,0.0006,0.0008,0.0001
8330,,,,,,,,,,,0.9766,0,0.0003,0.0007,0.0002
8340,,,,,,,,,,,0.9726,0,0.0007,0.0009,0
8350,,,,,,,,,,,0.9777,0,0.0008,0.0007,0
8360,,,,,,,,,,,0.9954,0,0.001,0.0008,0.0002
8370,,,,,,,,,,,1,0.0023,0.001,0.0008,0
8380,,,,,,,,,,,0.9925,0.0101,0.0008,0.0009,0
8390,,,,,,,,,,,0.9751,0.0247,0.0006,0.0006,0.0001
8400,,,,,,,,,,,0.9572,0.0488,0.0004,0.0011,0
8410,,,,,,,,,,,0.9148,0.0865,0,0.0008,0
8420,,,,,,,,,,,0.8427,0.1417,0,0.0009,0
8430,,,,,,,,,,,0.7486,0.2174,0,0.0005,0
